name,task,aoi,iface,minecraft_experience,ptsot,sbsod,tot_dur_fixations,avg_dur_fixations,n_fixations,perc_dur_fixations,perc_n_fixations
1,1,direction,tbt,0,0,0,0,0.0,0,0.0,0.0
1,1,env,tbt,0,0,0,42487,256.0,166,68.167,72.807
1,1,minimap,tbt,0,0,0,19841,320.0,62,31.833,27.193
2,4,direction,tbt,0,0,0,1446,181.0,8,1.989,3.419
2,4,env,tbt,0,0,0,47670,343.0,139,65.574,59.402
2,4,minimap,tbt,0,0,0,23580,271.0,87,32.436,37.179
1,2,direction,lf,0,0,0,0,0.0,0,0.0,0.0
1,2,env,lf,0,0,0,43665,278.0,157,66.854,67.094
1,2,minimap,lf,0,0,0,21649,281.0,77,33.146,32.906
1,3,direction,tbt,0,0,0,334,167.0,2,0.748,1.681
1,3,env,tbt,0,0,0,33686,370.0,91,75.48,76.471
1,3,minimap,tbt,0,0,0,10609,408.0,26,23.772,21.849
1,4,direction,lf,0,0,0,0,0.0,0,0.0,0.0
1,4,env,lf,0,0,0,44598,274.0,163,59.878,62.934
1,4,minimap,lf,0,0,0,29883,311.0,96,40.122,37.066
3,3,direction,tbt,0,0,0,0,0.0,0,0.0,0.0
3,3,env,tbt,0,0,0,5342,214.0,25,100.0,100.0
3,3,minimap,tbt,0,0,0,0,0.0,0,0.0,0.0
2,1,direction,lf,0,0,0,0,0.0,0,0.0,0.0
2,1,env,lf,0,0,0,45055,306.0,147,61.314,60.0
2,1,minimap,lf,0,0,0,28428,290.0,98,38.686,40.0
2,2,direction,lf,0,0,0,0,0.0,0,0.0,0.0
2,2,env,lf,0,0,0,32421,306.0,106,56.794,53.807
2,2,minimap,lf,0,0,0,24664,271.0,91,43.206,46.193
2,3,direction,tbt,0,0,0,1726,192.0,9,4.574,6.164
2,3,env,tbt,0,0,0,25297,275.0,92,67.046,63.014
2,3,minimap,tbt,0,0,0,10708,238.0,45,28.38,30.822
3,4,direction,lf,0,0,0,0,0.0,0,0.0,0.0
3,4,env,lf,0,0,0,472,236.0,2,78.536,66.667
3,4,minimap,lf,0,0,0,129,129.0,1,21.464,33.333
3,1,direction,lf,0,0,0,0,0.0,0,0.0,0.0
3,1,env,lf,0,0,0,884,147.0,6,100.0,100.0
3,1,minimap,lf,0,0,0,0,0.0,0,0.0,0.0
3,2,direction,tbt,0,0,0,0,0.0,0,0.0,0.0
3,2,env,tbt,0,0,0,920,184.0,5,100.0,100.0
3,2,minimap,tbt,0,0,0,0,0.0,0,0.0,0.0
4,2,direction,tbt,0,0,0,0,0.0,0,0.0,0.0
4,2,env,tbt,0,0,0,38264,324.0,118,68.875,63.441
4,2,minimap,tbt,0,0,0,17292,254.0,68,31.125,36.559
4,3,direction,lf,0,0,0,0,0.0,0,0.0,0.0
4,3,env,lf,0,0,0,42908,245.0,175,100.0,100.0
4,3,minimap,lf,0,0,0,0,0.0,0,0.0,0.0
4,4,direction,lf,0,0,0,0,0.0,0,0.0,0.0
4,4,env,lf,0,0,0,23295,240.0,97,56.591,55.747
4,4,minimap,lf,0,0,0,17869,232.0,77,43.409,44.253
4,1,direction,tbt,0,0,0,0,0.0,0,0.0,0.0
4,1,env,tbt,0,0,0,26403,278.0,95,55.786,56.213
4,1,minimap,tbt,0,0,0,20926,283.0,74,44.214,43.787
5,1,direction,lf,0,0,0,0,0.0,0,0.0,0.0
5,1,env,lf,0,0,0,40830,246.0,166,75.594,74.107
5,1,minimap,lf,0,0,0,13182,227.0,58,24.406,25.893
5,2,direction,tbt,0,0,0,1423,142.0,10,3.077,4.878
5,2,env,tbt,0,0,0,22390,238.0,94,48.408,45.854
5,2,minimap,tbt,0,0,0,22440,222.0,101,48.516,49.268
5,3,direction,lf,0,0,0,0,0.0,0,0.0,0.0
5,3,env,lf,0,0,0,13165,219.0,60,40.175,44.118
5,3,minimap,lf,0,0,0,19604,258.0,76,59.825,55.882
5,4,direction,tbt,0,0,0,444,222.0,2,1.068,1.042
5,4,env,tbt,0,0,0,20489,209.0,98,49.301,51.042
5,4,minimap,tbt,0,0,0,20626,224.0,92,49.631,47.917
6,4,direction,tbt,0,0,0,671,168.0,4,1.294,2.128
6,4,env,tbt,0,0,0,39638,289.0,137,76.433,72.872
6,4,minimap,tbt,0,0,0,11551,246.0,47,22.273,25.0
6,1,direction,tbt,0,0,0,228,228.0,1,0.499,0.645
6,1,env,tbt,0,0,0,31741,327.0,97,69.502,62.581
6,1,minimap,tbt,0,0,0,13700,240.0,57,29.998,36.774
6,2,direction,lf,0,0,0,0,0.0,0,0.0,0.0
