name,task1,iface1,task2,iface2,task3,iface3,task4,iface4,sbsod,ptsot,minecraft,videogames
1,1,tbt,2,lf,3,tbt,4,lf,3.74,7.2,0,1
2,4,tbt,1,lf,2,lf,3,tbt,3.74,18.0,2,1
3,3,tbt,4,lf,1,lf,2,tbt,5.73,26.27,0,0
4,2,tbt,3,lf,4,lf,1,tbt,6.06,14.58,2,2
5,1,lf,2,tbt,3,lf,4,tbt,4.86,13.75,2,2
6,4,tbt,1,tbt,2,lf,3,lf,4.86,13.75,0,1
7,3,lf,4,tbt,1,tbt,2,lf,4.8,9.55,0,1
8,2,tbt,1,lf,3,tbt,4,lf,4.67,5.99,0,1
9,3,tbt,4,lf,1,tbt,2,lf,3.93,9.63,1,1
10,4,tbt,2,lf,1,lf,3,tbt,4.8,18.16,0,1
11,1,tbt,4,lf,2,tbt,3,lf,5.46,4.6,0,1
12,2,tbt,3,lf,4,tbt,1,lf,3.94,13.67,1,2
13,3,tbt,1,lf,4,tbt,2,lf,5.53,38.1,0,1
14,4,lf,1,tbt,2,tbt,3,lf,1.34,27.08,0,1
15,1,lf,2,tbt,3,lf,4,tbt,4.03,86.81,2,1
16,2,lf,3,tbt,4,lf,1,tbt,5.6,9.74,2,2
