name,task,phase,time,angle_err,angle_time,iface,phase1_time,phase2_extra,sketch_err,speed_ratio
1,1,1,80,6.0,9,tbt,80.0,4.0,54.667,1.05
1,1,2,84,0.0,9,tbt,80.0,4.0,54.667,1.05
1,2,1,83,32.0,4,lf,83.0,-8.0,258.5,0.9036144578313253
1,2,2,75,35.0,8,lf,83.0,-8.0,258.5,0.9036144578313253
1,3,1,47,9.0,8,tbt,47.0,25.0,24.0,1.5319148936170213
1,3,2,72,7.0,6,tbt,47.0,25.0,24.0,1.5319148936170213
1,4,1,91,33.0,8,lf,91.0,-25.0,42.0,0.7252747252747253
1,4,2,66,39.0,10,lf,91.0,-25.0,42.0,0.7252747252747253
2,1,1,97,10.0,3,lf,97.0,-43.0,98.833,0.5567010309278351
2,1,2,54,0.0,3,lf,97.0,-43.0,98.833,0.5567010309278351
2,2,1,70,56.0,3,lf,70.0,4.0,323.667,1.0571428571428572
2,2,2,74,16.0,5,lf,70.0,4.0,323.667,1.0571428571428572
2,3,1,48,12.0,2,tbt,48.0,1.0,87.0,1.0208333333333333
2,3,2,49,10.0,2,tbt,48.0,1.0,87.0,1.0208333333333333
2,4,1,88,4.0,3,tbt,88.0,-29.0,40.833,0.6704545454545454
2,4,2,59,4.0,10,tbt,88.0,-29.0,40.833,0.6704545454545454
3,1,1,160,12.0,9,lf,160.0,-63.0,59.167,0.60625
3,1,2,97,36.0,11,lf,160.0,-63.0,59.167,0.60625
3,2,1,104,3.0,13,tbt,104.0,-5.0,528.667,0.9519230769230769
3,2,2,99,39.0,9,tbt,104.0,-5.0,528.667,0.9519230769230769
3,3,1,66,37.0,13,tbt,66.0,23.0,84.5,1.3484848484848484
3,3,2,89,44.0,7,tbt,66.0,23.0,84.5,1.3484848484848484
3,4,1,105,23.0,9,lf,105.0,54.0,502.833,1.5142857142857142
3,4,2,159,31.0,7,lf,105.0,54.0,502.833,1.5142857142857142
4,1,1,58,10.0,3,tbt,58.0,-3.0,98.833,0.9482758620689655
4,1,2,55,1.0,4,tbt,58.0,-3.0,98.833,0.9482758620689655
4,2,1,69,67.0,14,tbt,69.0,-10.0,378.833,0.855072463768116
4,2,2,59,13.0,7,tbt,69.0,-10.0,378.833,0.855072463768116
4,3,1,52,6.0,5,lf,52.0,-6.0,29.5,0.8846153846153846
4,3,2,46,0.0,6,lf,52.0,-6.0,29.5,0.8846153846153846
4,4,1,66,14.0,4,lf,66.0,-15.0,77.167,0.7727272727272727
4,4,2,51,4.0,4,lf,66.0,-15.0,77.167,0.7727272727272727
5,1,1,66,2.0,9,lf,66.0,-15.0,389.0,0.7727272727272727
5,1,2,51,1.0,5,lf,66.0,-15.0,389.0,0.7727272727272727
5,2,1,65,2.0,10,tbt,65.0,8.0,277.333,1.123076923076923
5,2,2,73,17.0,12,tbt,65.0,8.0,277.333,1.123076923076923
5,3,1,47,2.0,10,lf,47.0,-1.0,35.5,0.9787234042553191
5,3,2,46,6.0,6,lf,47.0,-1.0,35.5,0.9787234042553191
5,4,1,55,22.0,9,tbt,55.0,-6.0,239.5,0.8909090909090909
5,4,2,49,27.0,7,tbt,55.0,-6.0,239.5,0.8909090909090909
6,1,1,62,4.0,7,tbt,62.0,5.0,137.5,1.0806451612903225
6,1,2,67,1.0,10,tbt,62.0,5.0,137.5,1.0806451612903225
6,2,1,74,62.0,8,lf,74.0,-3.0,180.333,0.9594594594594594
6,2,2,71,6.0,10,lf,74.0,-3.0,180.333,0.9594594594594594
6,3,1,53,18.0,6,lf,53.0,145.0,170.5,3.7358490566037736
6,3,2,198,58.0,10,lf,53.0,145.0,170.5,3.7358490566037736
6,4,1,62,18.0,8,tbt,62.0,-2.0,455.167,0.967741935483871
6,4,2,60,45.0,12,tbt,62.0,-2.0,455.167,0.967741935483871
7,1,1,58,16.0,4,tbt,58.0,42.0,118.833,1.7241379310344827
7,1,2,100,9.0,8,tbt,58.0,42.0,118.833,1.7241379310344827
7,2,1,68,35.0,4,lf,68.0,37.0,418.5,1.5441176470588236
7,2,2,105,7.0,6,lf,68.0,37.0,418.5,1.5441176470588236
7,3,1,52,21.0,5,lf,52.0,-5.0,108.25,0.9038461538461539
7,3,2,47,7.0,9,lf,52.0,-5.0,108.25,0.9038461538461539
7,4,1,51,11.0,9,tbt,51.0,4.0,441.0,1.0784313725490196
7,4,2,55,4.0,5,tbt,51.0,4.0,441.0,1.0784313725490196
8,1,1,73,8.0,9,lf,73.0,-19.0,288.0,0.7397260273972602
8,1,2,54,0.0,8,lf,73.0,-19.0,288.0,0.7397260273972602
8,2,1,68,47.0,22,tbt,68.0,2.0,126.833,1.0294117647058822
8,2,2,70,3.0,20,tbt,68.0,2.0,126.833,1.0294117647058822
8,3,1,50,1.0,6,tbt,50.0,2.0,29.25,1.04
8,3,2,52,7.0,17,tbt,50.0,2.0,29.25,1.04
8,4,1,112,53.0,38,lf,112.0,-22.0,70.0,0.8035714285714286
8,4,2,90,32.0,6,lf,112.0,-22.0,70.0,0.8035714285714286
9,1,1,74,23.0,10,tbt,74.0,-11.0,253.0,0.8513513513513513
9,1,2,63,5.0,8,tbt,74.0,-11.0,253.0,0.8513513513513513
9,2,1,88,4.0,20,lf,88.0,-18.0,152.833,0.7954545454545454
9,2,2,70,1.0,16,lf,88.0,-18.0,152.833,0.7954545454545454
9,3,1,64,2.0,12,tbt,64.0,-11.0,197.25,0.828125
9,3,2,53,0.0,14,tbt,64.0,-11.0,197.25,0.828125
9,4,1,94,27.0,15,lf,94.0,-35.0,134.667,0.6276595744680851
9,4,2,59,3.0,12,lf,94.0,-35.0,134.667,0.6276595744680851
10,1,1,67,4.0,7,lf,67.0,-16.0,110.5,0.7611940298507462
10,1,2,51,3.0,6,lf,67.0,-16.0,110.5,0.7611940298507462
10,2,1,62,4.0,8,lf,62.0,2.0,94.167,1.032258064516129
10,2,2,64,89.0,11,lf,62.0,2.0,94.167,1.032258064516129
10,3,1,47,13.0,11,tbt,47.0,-1.0,74.5,0.9787234042553191
10,3,2,46,18.0,9,tbt,47.0,-1.0,74.5,0.9787234042553191
10,4,1,48,28.0,9,tbt,48.0,1.0,31.5,1.0208333333333333
10,4,2,49,28.0,4,tbt,48.0,1.0,31.5,1.0208333333333333
11,1,1,63,12.0,8,tbt,63.0,2.0,92.167,1.0317460317460319
11,1,2,65,6.0,4,tbt,63.0,2.0,92.167,1.0317460317460319
11,2,1,74,10.0,11,tbt,74.0,-11.0,236.5,0.8513513513513513
11,2,2,63,10.0,14,tbt,74.0,-11.0,236.5,0.8513513513513513
11,3,1,58,15.0,18,lf,58.0,-8.0,21.5,0.8620689655172413
11,3,2,50,0.0,12,lf,58.0,-8.0,21.5,0.8620689655172413
11,4,1,103,13.0,7,lf,103.0,18.0,208.167,1.174757281553398
11,4,2,121,3.0,5,lf,103.0,18.0,208.167,1.174757281553398
12,1,1,95,25.0,5,lf,95.0,-42.0,30.833,0.5578947368421052
12,1,2,53,1.0,7,lf,95.0,-42.0,30.833,0.5578947368421052
12,2,1,77,28.0,3,tbt,77.0,-10.0,244.833,0.8701298701298701
12,2,2,67,19.0,11,tbt,77.0,-10.0,244.833,0.8701298701298701
12,3,1,75,36.0,4,lf,75.0,-26.0,58.75,0.6533333333333333
12,3,2,49,17.0,6,lf,75.0,-26.0,58.75,0.6533333333333333
12,4,1,84,7.0,6,tbt,84.0,-27.0,41.667,0.6785714285714286
12,4,2,57,30.0,4,tbt,84.0,-27.0,41.667,0.6785714285714286
13,1,1,107,11.0,14,lf,107.0,-21.0,147.667,0.8037383177570093
13,1,2,86,10.0,8,lf,107.0,-21.0,147.667,0.8037383177570093
13,2,1,107,9.0,3,lf,107.0,-3.0,425.833,0.9719626168224299
13,2,2,104,69.0,8,lf,107.0,-3.0,425.833,0.9719626168224299
13,3,1,63,2.0,4,tbt,63.0,-11.0,37.5,0.8253968253968254
13,3,2,52,3.0,7,tbt,63.0,-11.0,37.5,0.8253968253968254
13,4,1,93,57.0,6,tbt,93.0,29.0,165.167,1.3118279569892473
13,4,2,122,28.0,5,tbt,93.0,29.0,165.167,1.3118279569892473
14,1,1,95,7.0,10,tbt,95.0,31.0,254.0,1.3263157894736841
14,1,2,126,1.0,7,tbt,95.0,31.0,254.0,1.3263157894736841
14,2,1,81,40.0,6,tbt,81.0,43.0,473.333,1.5308641975308641
14,2,2,124,36.0,5,tbt,81.0,43.0,473.333,1.5308641975308641
14,3,1,60,35.0,5,lf,60.0,-7.0,389.75,0.8833333333333333
14,3,2,53,34.0,5,lf,60.0,-7.0,389.75,0.8833333333333333
14,4,1,113,28.0,8,lf,113.0,-32.0,400.333,0.7168141592920354
14,4,2,81,26.0,5,lf,113.0,-32.0,400.333,0.7168141592920354
15,1,1,58,4.0,5,lf,58.0,-7.0,229.333,0.8793103448275862
