task,landmark,on_turn,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,bnb,True,58,167,33,176,915,78,267,353,173,13,58,34,61,242,198,331
1,pub,False,20,177,51,115,87,77,92,182,226,8,200,8,244,81,244,163
1,fish shop,True,75,41,105,101,456,57,214,459,576,41,135,78,131,892,892,459
1,dorm,True,25,26,9,46,694,323,69,694,309,18,18,25,141,-1,23,183
1,harbour,False,58,47,33,71,78,110,47,23,119,515,26,8,92,62,12,98
1,goal,False,92,135,124,84,104,180,24,17,115,68,116,32,217,248,7,53
2,veterinary,False,300,1098,39,1098,174,197,325,10,35,26,31,741,484,13,583,-1
2,church,False,976,51,976,321,137,23,59,635,680,131,326,262,645,32,945,23
2,hotel,False,15,289,306,496,117,285,362,25,33,321,330,250,496,232,343,455
2,plant shop,True,80,334,1001,290,1001,514,640,15,-1,44,583,57,744,646,825,-1
2,library,True,30,104,532,30,57,14,997,25,18,23,23,18,56,997,19,45
2,goal,False,150,66,318,38,178,49,128,51,152,20,126,141,130,920,18,51
3,oak temple,True,15,174,178,72,67,521,296,22,588,114,28,28,48,588,130,130
3,sun temple,True,28,60,63,13,57,22,81,15,69,18,21,18,31,380,19,100
3,restaurant,False,31,62,33,21,6,24,35,38,109,135,18,172,48,554,38,274
3,goal,False,22,52,64,12,12,115,21,42,23,31,19,17,23,37,74,167
4,sea bnb,True,30,24,406,161,52,1226,1457,8,56,27,16,24,257,6,1176,858
4,park,False,73,88,36,95,299,56,33,26,54,24,36,7,125,47,29,255
4,white tree,False,10,12,457,23,337,35,47,8,54,67,303,26,496,496,71,362
4,art gallery,False,33,41,275,157,112,268,43,298,48,32,319,51,9,319,251,127
4,fountain,True,43,23,1440,16,618,1115,627,27,554,13,555,19,43,1440,17,20
4,goal,False,63,57,403,11,19,31,439,53,42,26,20,123,61,94,77,101
